"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","BARCODE TYPE","BATCH NUMBER"
"1a4000312687522000003461","10003265","WONDERLEAF 250MG LUCY",0,15,45,"CANNIBIS","USER","3461"
"1a4000312687522000003463","10003267","WONDERLEAF 250MG JUICY FRUIT",-1,15,45,"CANNIBIS","USER","3463"
"1A4000312687522000003447","10003269","WONDERLEAF WAX 1G BLUE. HEAD.",-1,22.5,60,"CANNIBIS","USER","3447"
"1A4000312687522000003448","10003271","WONDERLEAF WAX 1G SUPER LEMON",1,23,60,"CANNIBIS","USER","3448"
"1A40003126874e4000008238","10003279","PLATINUM ROLLS-INDICA",18,12,25,"CANNIBIS","USER","8238"
"1A400031266ee7e000004825","10003281","PRE-ROLL SUMO GRANDE",-18,3,10,"CANNIBIS","USER","004825"
"1a400031266ee7E000004834","10003283","PRE-ROLL HASH PLANT-- FLOWER",0,3,10,"CANNIBIS","USER","004834"
"1a4000312687491000053129","10003285","CANNAPUNCH PINEAPPLE MANGO",21,11.75,25,"CANNIBIS","USER","53129"
"1A4000312687491000053130","10003287","CANNAPUNCH WATERMELON",7,11.75,25,"CANNIBIS","USER","53130"
"1a4000312687491000053131","10003289","CANNAPUNCH BLACK CHERRY",5,11.75,25,"CANNIBIS","USER","53131"
"1A4000312687491000053132","10003291","CANNAPUNCH BLUE RASPBERRY",11,11.75,25,"CANNIBIS","USER","53132"
"1A4000312687491000053133","10003293","HIGHLY EDIBLES PEACH PUCKS",24,10,25,"CANNIBIS","USER","53133"
"1a4000312687491000053134","10003295","HIGHLY EDIBLES WATERMELON PUCK",36,10,25,"CANNIBIS","USER","53134"
"1a4000312687491000053135","10003297","HIGHLY EDIBLES CHERRY PUCKS",1,10,25,"CANNIBIS","USER","53135"
"1a4000312687491000053136","10003299","HIGHLY EDIBLES STRAWBERRY PUCK",33,10,25,"CANNIBIS","USER","53136"
"1A4000312687491000053137","10003301","HIGHLY EDIBLES ASSORTED FRUITS",35,10,25,"CANNIBIS","USER","53137"
"1a4000312687491000053138","10003303","HIGHLY EDIBLES ASSORTED SOURS",37,10,25,"CANNIBIS","USER","53138"
"1A4000312687484000030380","10003305","LOVES PEANUT BUTTER BROWNIE GF",7,10,25,"CANNIBIS","USER","NA"
