"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","SUBCAT_COD","BARCODE TYPE","BATCH NUMBER"
"1A400031268748C000012282","10000141","INCREDIBLES STRAWBERRY CRUNCH",0,9.5,25,"CANNIBIS","EDIBLES","USER","138R100R064B"
"1A40003126874AA000015113","10000142","IT CBD SUCKER",0,5,10,"CANNIBIS","EDIBLES","USER","12273"
"1A40003126874AA000018768","10000143","IT CITRUS MEDLEY",9,9.75,25,"CANNIBIS","EDIBLES","USER","FLO"
"1A40003126874AA000018769","10000145","IT GRAPEFRUIT",-4,9.75,25,"CANNIBIS","EDIBLES","USER","GOLDEN TRI"
"1A400031268748A000029600","10000148","DIXIE SARSAPARILLA",0,10,24,"CANNIBIS","EDIBLES","USER","2416"
"1A400031266EF55000001695","10000152","OG COOKIES 1G",0,3.12,12,"CANNIBIS","SPECIALS","USER","1695"
"1A40003126874AF000007823","10000153","CHEEBA CHEW SATIVA MULTI PACK",86,10,25,"CANNIBIS","EDIBLES","USER","R5728"
"1A400031266EF55000001695","10000154","OG COOKIES 3.5G",0,10.9,40,"CANNIBIS","SPECIALS","USER","1695"
"1A40003126874AF000007824","10000155","CHEEBA SINGLE SATIVA",-9,3,7,"CANNIBIS","EDIBLES","USER","R0503"
"1A40003126874AF000004775","10000156","CHEEBA SINGLE INDICA",-1,3,7,"CANNIBIS","EDIBLES","USER","R0502"
"1A400031266EF55000001695","10000157","GSC 7G",0,15.63,110,"CANNIBIS","FLOWER","USER","1695"
"1A40003126874AF000006530","10000158","CHEEBA SINGLE HYBRID",13,3,7,"CANNIBIS","EDIBLES","USER","R0898"
"1A40003126874AF000004777","10000159","CHEEBA SINGLE CBD",0,4,9,"CANNIBIS","EDIBLES","USER","R0503"
"1A400031268748A000023748","10000160","DIXIE SYNERGY NATURAL",0,12.5,45,"CANNIBIS","EDIBLES","USER","3748"
"1A40003126874AF000004776","10000161","CHEEBA CBD MULTIPACK",0,24,50,"CANNIBIS","EDIBLES","USER","0040"
"1A40003126874AF000006531","10000162","GREEN HORNET SINGLE",0,3,7,"CANNIBIS","EDIBLES","USER","R7381"
"1A400031268748A000023881","10000163","DIXIE DEW DROPS VANILLA",0,10,20,"CANNIBIS","EDIBLES","USER","3881"
"1A400031268748A000023751","10000164","DIXIE DEW DROPS WATERMELON",1,10,27,"CANNIBIS","TINCTURES","USER","3751"
"1A40003126874AA000018774","10000165","THE COFFEE",0,5.41,12,"CANNIBIS","EDIBLES","USER","GOLDEN TRI"
"1A40003126874A5000008756","10000166","CBD CHILL PILLS",48,7.5,20,"CANNIBIS","EDIBLES","USER","RCBD051216"
"1A400031268748A000029605","10000168","DIXIE DEW DROPS SPEARMINT",0,10,27,"CANNIBIS","TINCTURES","USER","R19787"
"1A400031268748A000023336","10000170","DIXIE DEW DROPS WATERMELON",1,10,27,"CANNIBIS","TINCTURES","USER","R15293"
"1A400031268748A000029607","10000171","DIXIE DEW DROPS CINNAMON",0,10,27,"CANNIBIS","TINCTURES","USER","R14027"
"1A400031268748A000029604","10000172","DIXIE DEW DROPS NATURAL",0,10,27,"CANNIBIS","TINCTURES","USER","R23199"
